epoch (ms),time (06:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1601970686628,2020-10-06T10:51:26.628,3.480,1.037,3.963,0.335
1601970686648,2020-10-06T10:51:26.648,3.500,0.030,0.534,0.381
1601970686668,2020-10-06T10:51:26.668,3.520,-0.869,-3.735,0.381
1601970686688,2020-10-06T10:51:26.688,3.540,0.061,-0.564,0.259
1601970686708,2020-10-06T10:51:26.708,3.560,0.899,1.570,0.229
1601970686728,2020-10-06T10:51:26.728,3.580,-0.076,-1.326,0.244
1601970686748,2020-10-06T10:51:26.748,3.600,-0.351,-1.463,0.305
1601970686768,2020-10-06T10:51:26.768,3.620,0.381,1.326,0.412
1601970686788,2020-10-06T10:51:26.788,3.640,0.137,0.320,0.442
1601970686808,2020-10-06T10:51:26.808,3.660,-0.488,-2.195,0.396
1601970686828,2020-10-06T10:51:26.828,3.680,-0.061,-0.488,0.320
1601970686848,2020-10-06T10:51:26.848,3.700,0.579,1.341,0.229
1601970686868,2020-10-06T10:51:26.868,3.720,-0.107,-1.143,0.366
1601970686888,2020-10-06T10:51:26.888,3.740,-0.595,-2.500,0.351
1601970686908,2020-10-06T10:51:26.908,3.760,0.335,0.549,0.213
1601970686928,2020-10-06T10:51:26.928,3.780,0.473,0.930,0.259
1601970686948,2020-10-06T10:51:26.948,3.800,-0.305,-1.845,0.351
1601970686968,2020-10-06T10:51:26.968,3.820,-0.152,-1.204,0.412
1601970686988,2020-10-06T10:51:26.988,3.840,-0.122,-1.006,0.518
1601970687008,2020-10-06T10:51:27.008,3.860,-0.381,-1.784,0.244
1601970687028,2020-10-06T10:51:27.028,3.880,0.030,-0.534,0.213
1601970687048,2020-10-06T10:51:27.048,3.900,0.503,0.549,0.229
1601970687068,2020-10-06T10:51:27.068,3.920,0.229,-0.183,0.244
1601970687088,2020-10-06T10:51:27.088,3.940,0.229,0.152,0.366
1601970687108,2020-10-06T10:51:27.108,3.960,-0.137,-1.280,0.595
1601970687128,2020-10-06T10:51:27.128,3.980,-0.640,-3.216,0.473
1601970687148,2020-10-06T10:51:27.148,4.000,0.244,-0.747,0.351
1601970687168,2020-10-06T10:51:27.168,4.020,0.442,-0.046,0.259
1601970687188,2020-10-06T10:51:27.188,4.040,-0.091,-1.494,0.183
1601970687208,2020-10-06T10:51:27.208,4.060,0.061,-0.854,0.290
1601970687228,2020-10-06T10:51:27.228,4.080,0.091,-1.037,0.290
1601970687248,2020-10-06T10:51:27.248,4.100,-0.335,-2.439,0.229
1601970687268,2020-10-06T10:51:27.268,4.120,-0.229,-1.753,0.396
1601970687288,2020-10-06T10:51:27.288,4.140,0.259,0.046,0.412
1601970687308,2020-10-06T10:51:27.308,4.160,0.610,1.905,0.351
1601970687328,2020-10-06T10:51:27.328,4.180,-0.198,-0.427,0.335
1601970687348,2020-10-06T10:51:27.348,4.200,-0.549,-1.784,0.290
1601970687368,2020-10-06T10:51:27.368,4.220,0.655,2.409,0.305
1601970687388,2020-10-06T10:51:27.388,4.240,0.473,2.119,0.396
1601970687408,2020-10-06T10:51:27.408,4.260,-0.838,-3.491,0.351
1601970687428,2020-10-06T10:51:27.428,4.280,-0.747,-3.155,0.259
1601970687448,2020-10-06T10:51:27.448,4.300,0.640,1.128,0.229
1601970687468,2020-10-06T10:51:27.468,4.320,0.503,1.006,0.229
1601970687488,2020-10-06T10:51:27.488,4.340,-0.259,-1.265,0.305
1601970687508,2020-10-06T10:51:27.508,4.360,-0.305,-1.143,0.351
1601970687528,2020-10-06T10:51:27.528,4.380,0.259,0.747,0.381
1601970687548,2020-10-06T10:51:27.548,4.400,-0.046,-0.320,0.305
1601970687568,2020-10-06T10:51:27.568,4.420,-0.625,-3.034,0.305
1601970687588,2020-10-06T10:51:27.588,4.440,0.061,-1.021,0.290
1601970687608,2020-10-06T10:51:27.608,4.460,0.838,1.479,0.274
1601970687628,2020-10-06T10:51:27.628,4.480,-0.091,-1.448,0.351
1601970687648,2020-10-06T10:51:27.648,4.500,-0.412,-2.409,0.351
1601970687668,2020-10-06T10:51:27.668,4.520,0.351,0.381,0.335
1601970687688,2020-10-06T10:51:27.688,4.540,0.244,-0.061,0.213
