epoch (ms),time (06:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1601970686352,2020-10-06T10:51:26.352,3.180,0.041,-0.017,1.018
1601970686372,2020-10-06T10:51:26.372,3.200,0.041,-0.017,1.014
1601970686392,2020-10-06T10:51:26.392,3.220,0.052,-0.016,1.018
1601970686412,2020-10-06T10:51:26.412,3.240,0.046,-0.020,1.020
1601970686432,2020-10-06T10:51:26.432,3.260,0.037,-0.017,1.014
1601970686452,2020-10-06T10:51:26.452,3.280,0.038,-0.016,1.014
1601970686472,2020-10-06T10:51:26.472,3.300,0.040,-0.017,1.019
1601970686492,2020-10-06T10:51:26.492,3.320,0.038,-0.014,1.018
1601970686512,2020-10-06T10:51:26.512,3.340,0.042,-0.015,1.018
1601970686532,2020-10-06T10:51:26.532,3.360,0.045,-0.016,1.020
1601970686552,2020-10-06T10:51:26.552,3.380,0.039,-0.016,1.017
1601970686572,2020-10-06T10:51:26.572,3.400,0.039,-0.015,1.013
1601970686592,2020-10-06T10:51:26.592,3.420,0.047,-0.017,1.022
1601970686612,2020-10-06T10:51:26.612,3.440,0.048,-0.017,1.021
1601970686632,2020-10-06T10:51:26.632,3.460,0.038,-0.014,1.015
1601970686652,2020-10-06T10:51:26.652,3.480,0.035,-0.013,1.014
1601970686672,2020-10-06T10:51:26.672,3.500,0.043,-0.017,1.018
1601970686692,2020-10-06T10:51:26.692,3.520,0.046,-0.016,1.021
1601970686712,2020-10-06T10:51:26.712,3.540,0.041,-0.016,1.020
1601970686732,2020-10-06T10:51:26.732,3.560,0.042,-0.016,1.018
1601970686752,2020-10-06T10:51:26.752,3.580,0.042,-0.018,1.016
1601970686772,2020-10-06T10:51:26.772,3.600,0.038,-0.015,1.017
1601970686792,2020-10-06T10:51:26.792,3.620,0.041,-0.016,1.016
1601970686812,2020-10-06T10:51:26.812,3.640,0.046,-0.017,1.021
1601970686832,2020-10-06T10:51:26.832,3.660,0.044,-0.017,1.021
1601970686852,2020-10-06T10:51:26.852,3.680,0.038,-0.015,1.017
1601970686872,2020-10-06T10:51:26.872,3.700,0.039,-0.015,1.018
1601970686892,2020-10-06T10:51:26.892,3.720,0.045,-0.016,1.019
1601970686912,2020-10-06T10:51:26.912,3.740,0.040,-0.016,1.018
1601970686932,2020-10-06T10:51:26.932,3.760,0.037,-0.016,1.016
1601970686952,2020-10-06T10:51:26.952,3.780,0.039,-0.016,1.018
1601970686972,2020-10-06T10:51:26.972,3.800,0.041,-0.018,1.019
1601970686992,2020-10-06T10:51:26.992,3.820,0.043,-0.015,1.020
1601970687012,2020-10-06T10:51:27.012,3.840,0.044,-0.018,1.021
1601970687032,2020-10-06T10:51:27.032,3.860,0.044,-0.018,1.017
1601970687052,2020-10-06T10:51:27.052,3.880,0.041,-0.015,1.017
1601970687072,2020-10-06T10:51:27.072,3.900,0.039,-0.014,1.021
1601970687092,2020-10-06T10:51:27.092,3.920,0.037,-0.015,1.018
1601970687112,2020-10-06T10:51:27.112,3.940,0.039,-0.017,1.017
1601970687132,2020-10-06T10:51:27.132,3.960,0.044,-0.019,1.019
1601970687152,2020-10-06T10:51:27.152,3.980,0.045,-0.017,1.019
1601970687172,2020-10-06T10:51:27.172,4.000,0.042,-0.016,1.017
1601970687192,2020-10-06T10:51:27.192,4.020,0.040,-0.017,1.015
1601970687212,2020-10-06T10:51:27.212,4.040,0.038,-0.017,1.019
1601970687232,2020-10-06T10:51:27.232,4.060,0.041,-0.016,1.017
1601970687252,2020-10-06T10:51:27.252,4.080,0.047,-0.017,1.018
1601970687272,2020-10-06T10:51:27.272,4.100,0.051,-0.018,1.019
1601970687292,2020-10-06T10:51:27.292,4.120,0.043,-0.016,1.021
1601970687312,2020-10-06T10:51:27.312,4.140,0.039,-0.017,1.017
1601970687332,2020-10-06T10:51:27.332,4.160,0.043,-0.016,1.014
